[14465.7, 14465.7, 14465.9, 14465.9; 16234.2, 16234, 16234.1, 16234.3]
[14175.3, 14175.4, 14175.3, 14175.1; 16138.1, 16138.3, 16138.4, 16138.3]
[14464, 14464.4, 14464.4, 14464; 16241.8, 16241.8, 16242.1, 16242.1]
[14200, 14200.1, 14193.5, 14193.4; 16093.5, 16096.3, 16096.5, 16093.7]
[14205.1, 14198.9, 14214.9, 14221.1; 16306.6, 16301.2, 16282.8, 16288.2]
[14181.4, 14181.6, 14181.5, 14181.3; 16113.4, 16113.5, 16113.7, 16113.5]
[14471.6, 14471.7, 14471.9, 14471.8; 16244.5, 16244.3, 16244.4, 16244.6]
[14174.6, 14175, 14175, 14174.6; 16111.3, 16111.3, 16111.6, 16111.6]
[14165.3, 14162.7, 14160.3, 14162.9; 16142.1, 16143.2, 16137.1, 16136]
[14480.8, 14481.1, 14481.1, 14480.8; 16232.1, 16232.1, 16232.4, 16232.4]
[14169.8, 14170, 14169.8, 14169.7; 16115.9, 16116, 16116.2, 16116]
[14484.3, 14484.4, 14484.6, 14484.5; 16223.1, 16222.9, 16223, 16223.2]
[14360.6, 14339.3, 14336.5, 14357.9; 16364, 16366.3, 16340.7, 16338.4]
[14151.8, 14151.5, 14153, 14153.3; 16172.7, 16171.7, 16171.2, 16172.2]
[14489.6, 14489.4, 14489.2, 14489.4; 16160.4, 16160.6, 16160.4, 16160.2]
[14137.5, 14170.7, 14182.6, 14149.4; 16236.1, 16222.1, 16250.6, 16264.5]
[14176.7, 14176.9, 14176.7, 14176.5; 16094, 16094.2, 16094.4, 16094.2]
[14349.8, 14349.7, 14349.5, 14349.7; 16017.3, 16017.5, 16017.3, 16017.1]
[14299, 14298.8, 14298.7, 14298.8; 16012.9, 16013.1, 16013, 16012.8]
[14170.7, 14171.1, 14171.1, 14170.7; 16095.5, 16095.5, 16095.8, 16095.8]
[14494.7, 14494.6, 14494.4, 14494.6; 16213.4, 16213.6, 16213.5, 16213.3]
[14490.4, 14490.5, 14490.7, 14490.6; 16233.2, 16233, 16233.1, 16233.3]
[14429.2, 14409.7, 14398.9, 14418.4; 16343.4, 16352.4, 16328.9, 16319.9]
[14313.6, 14304.8, 14304.1, 14313; 16367.4, 16368.1, 16360.3, 16359.6]
[14495.6, 14495.9, 14495.9, 14495.6; 16223.5, 16223.5, 16223.8, 16223.8]
[14198.1, 14198.4, 14196.9, 14196.6; 16055.6, 16056.6, 16057.1, 16056.1]
[14165, 14165.2, 14165.1, 14164.9; 16096.4, 16096.5, 16096.7, 16096.5]
[14200.9, 14188.6, 14178.8, 14191.1; 16309.5, 16322.5, 16313.2, 16300.3]
[14501.8, 14502.1, 14502.1, 14501.8; 16219.8, 16219.8, 16220.2, 16220.2]
[14127.1, 14118.4, 14142, 14150.7; 16220.1, 16200.4, 16190, 16209.6]
[14166.7, 14167, 14167, 14166.7; 16079.1, 16079.1, 16079.4, 16079.4]
[14275.4, 14291.5, 14288.6, 14272.5; 16357.2, 16359.1, 16383.3, 16381.4]
[14170.9, 14171.1, 14171, 14170.8; 16071.2, 16071.4, 16071.6, 16071.4]
[14140.7, 14138.1, 14146.2, 14148.7; 16267.4, 16261.7, 16258.1, 16263.8]
[14134.5, 14132.1, 14140.2, 14142.7; 16255.6, 16249.8, 16246.4, 16252.2]
[14399.5, 14397.5, 14402.1, 14404.1; 16011.1, 16009.1, 16004.5, 16006.4]
[14517.6, 14517.5, 14517.3, 14517.5; 16189.1, 16189.3, 16189.2, 16189]
[14159.3, 14159.5, 14159.3, 14159.1; 16073.5, 16073.6, 16073.8, 16073.6]
[14447.2, 14451, 14452.9, 14449.1; 16335.1, 16332.5, 16335.2, 16337.8]
[14321.9, 14321.7, 14321.6, 14321.7; 15988.7, 15988.8, 15988.7, 15988.5]
[14478.4, 14486.3, 14475.3, 14467.4; 16298.9, 16306.5, 16317.9, 16310.3]
[14173.9, 14178.4, 14184.5, 14180; 16324, 16319.8, 16326.2, 16330.5]
[14448.5, 14452.3, 14454.7, 14450.9; 16337.2, 16334.8, 16338.7, 16341.1]
[14157.4, 14152.9, 14158, 14162.5; 16309.7, 16304.8, 16300.2, 16305.1]
[14523.9, 14523.9, 14523.7, 14523.7; 16192.6, 16192.8, 16192.8, 16192.6]
[14145.3, 14149, 14141.9, 14138.2; 16281.3, 16286.3, 16291.5, 16286.5]
[14456.4, 14452.6, 14450.8, 14454.7; 16341.2, 16343.7, 16341, 16338.5]
